"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"2","3m India Limited","3MINDIA","P&F | F.A","0.17%","30050","910"
"72","Aditya Birla Fashion And Retail Limited","ABFRL","P&F | F.A","-0.71%","75.18","10,70,437"
"25","Acc Limited","ACC","P&F | F.A","-0.63%","1966.4","67,938"
"19","Aia Engineering Limited","AIAENG","P&F | F.A","-1.28%","3403.3","5,271"
"21","Ajanta Pharma Limited","AJANTPHARM","P&F | F.A","-0.27%","2778.9","31,377"
"10","Alkem Laboratories Limited","ALKEM","P&F | F.A","-0.63%","4987.1","14,460"
"53","Apollo Tyres Limited","APOLLOTYRE","P&F | F.A","-0.63%","455.25","2,26,379"
"69","Ashok Leyland Limited","ASHOKLEY","P&F | F.A","-0.89%","122.65","17,53,223"
"31","Astral Poly Technik Limited","ASTRAL","P&F | F.A","0.06%","1506","1,15,318"
"39","Aurobindo Pharma Limited","AUROPHARMA","P&F | F.A","-0.84%","1144.5","1,34,897"
"61","Adani Wilmar Ltd","AWL","P&F | F.A","-0.29%","277.5","56,15,336"
"22","Balkrishna Industries Limited","BALKRISIND","P&F | F.A","0.29%","2750","88,539"
"65","Bandhan Bank Ltd","BANDHANBNK","P&F | F.A","-0.48%","184.3","48,51,085"
"70","Bank Of India","BANKINDIA","P&F | F.A","-0.85%","115.11","15,73,690"
"37","Bharat Forge Limited","BHARATFORG","P&F | F.A","-0.26%","1221.6","1,85,687"
"41","Carborundum Universal Limited","CARBORUNIV","P&F | F.A","-0.61%","988.6","18,285"
"23","Colgate Palmolive (india) Limited","COLPAL","P&F | F.A","-0.94%","2375.5","1,10,342"
"47","Container Corporation Of India Limited","CONCOR","P&F | F.A","-0.73%","616.5","3,04,074"
"26","Deepak Nitrite Limited","DEEPAKNTR","P&F | F.A","-0.85%","1943.5","33,887"
"49","Emami Limited","EMAMILTD","P&F | F.A","-0.28%","586.8","1,50,016"
"18","Escorts Limited","ESCORTS","P&F | F.A","-0.12%","3406.8","79,246"
"57","Exide Industries Limited","EXIDEIND","P&F | F.A","-0.39%","382.05","7,81,304"
"16","Gujarat Fluorochemicals Ltd","FLUOROCHEM","P&F | F.A","0.84%","3472.6","1,54,732"
"58","General Insurance Corporation of India","GICRE","P&F | F.A","-1.41%","381.4","1,54,401"
"24","Godrej Properties Limited","GODREJPROP","P&F | F.A","-0.03%","2336.3","4,85,213"
"29","Grindwell Norton Limited","GRINDWELL","P&F | F.A","-0.77%","1795","15,881"
"52","Gujarat Gas Limited","GUJGASLTD","P&F | F.A","-0.97%","472.35","38,618"
"55","Hindustan Zinc Limited","HINDZINC","P&F | F.A","0.43%","439","13,73,594"
"1","Honeywell Automation India Limited","HONAUT","P&F | F.A","-0.73%","40300","380"
"64","Housing and Urban Development Corporation","HUDCO","P&F | F.A","-1.13%","226.64","10,04,722"
"79","Idea Cellular Limited","IDEA","P&F | F.A","-1.03%","7.68","10,48,07,330"
"77","Indian Overseas Bank","IOB","P&F | F.A","-1.18%","39.36","32,55,959"
"33","Ipca Laboratories Limited","IPCALAB","P&F | F.A","-1.15%","1457.1","14,598"
"75","Irb Infrastructure Developers Limited","IRB","P&F | F.A","-1.03%","47.88","17,59,781"
"67","Indian Renewable Energy Development Agency Ltd","IREDA","P&F | F.A","-1.09%","157.51","20,24,777"
"44","Jindal Stainless Limited","JSL","P&F | F.A","0.94%","685.25","5,67,069"
"48","Kalyan Jewellers India Ltd","KALYANKJIL","P&F | F.A","-0.92%","595","10,64,023"
"14","Kei Industries Limited","KEI","P&F | F.A","1.06%","3975","2,41,421"
"36","KPIT Technologies Ltd","KPITTECH","P&F | F.A","-0.98%","1269.5","1,04,691"
"46","Lic Housing Finance Limited","LICHSGFIN","P&F | F.A","-1.09%","631.3","9,38,434"
"6","Linde India Limited","LINDEINDIA","P&F | F.A","-0.8%","6669.5","4,616"
"12","L&t Technology Services Limited","LTTS","P&F | F.A","0.3%","4425","34,416"
"27","Lupin Limited","LUPIN","P&F | F.A","-1.14%","1933.4","3,52,880"
"62","Mahindra & Mahindra Financial Services Limited","M&MFIN","P&F | F.A","-0.9%","259.3","4,36,350"
"74","Bank Of Maharashtra","MAHABANK","P&F | F.A","-1.27%","56.55","33,01,953"
"38","Metro Brands Ltd","METROBRAND","P&F | F.A","0.52%","1207.5","9,059"
"68","Mangalore Refinery And Petrochemicals Limited","MRPL","P&F | F.A","0.07%","147.6","14,24,709"
"76","Motherson Sumi Wiring India Ltd","MSUMI","P&F | F.A","-31.94%","43.88","53,35,376"
"66","New India Assurance Company Ltd","NIACL","P&F | F.A","-1.33%","183.53","1,17,143"
"63","Nlc India Limited","NLCINDIA","P&F | F.A","-2.21%","233.9","4,66,756"
"73","Nmdc Limited","NMDC","P&F | F.A","0.88%","70.17","1,52,65,995"
"28","Oberoi Realty Limited","OBEROIRLTY","P&F | F.A","-0.3%","1833.2","1,57,933"
"5","Oracle Financial Services Software Limited","OFSS","P&F | F.A","-0.55%","8697","31,636"
"54","Oil India Limited","OIL","P&F | F.A","0.75%","449.8","9,61,829"
"9","Persistent Systems Limited","PERSISTENT","P&F | F.A","-1.39%","5418","1,13,056"
"60","Petronet Lng Limited","PETRONET","P&F | F.A","-1.51%","306.2","3,48,325"
"3","Procter & Gamble Hygiene And Health Care Limited","PGHH","P&F | F.A","-0.57%","13340","2,218"
"32","The Phoenix Mills Limited","PHOENIXLTD","P&F | F.A","-0.8%","1490.4","97,388"
"59","Rail Vikas Nigam Ltd","RVNL","P&F | F.A","-1.09%","377.3","11,95,433"
"71","Sjvn Limited","SJVN","P&F | F.A","-1.23%","97.83","14,06,418"
"11","Skf India Limited","SKFINDIA","P&F | F.A","0%","4949.3","10,498"
"51","Sona BLW Precision Forgings Ltd","SONACOMS","P&F | F.A","-2.26%","475","32,74,388"
"56","Star Health & Allied Insurance Company Ltd","STARHEALTH","P&F | F.A","0.52%","436.25","1,15,568"
"40","Sundram Fasteners Limited","SUNDRMFAST","P&F | F.A","-0.67%","1029.7","10,477"
"50","Sun Tv Network Limited","SUNTV","P&F | F.A","-0.93%","571.1","66,945"
"13","Supreme Industries Limited","SUPREMEIND","P&F | F.A","-1.07%","4220","29,495"
"45","Syngene International Limited","SYNGENE","P&F | F.A","-1.07%","663.25","1,75,116"
"42","Tata Chemicals Limited","TATACHEM","P&F | F.A","-1.04%","928.65","1,36,952"
"30","Tata Communications Limited","TATACOMM","P&F | F.A","3.34%","1789.5","23,08,768"
"8","Tata Elxsi Limited","TATAELXSI","P&F | F.A","-1.07%","6130.5","46,080"
"7","Tata Investment Corporation Limited","TATAINVEST","P&F | F.A","-0.46%","6560.5","5,078"
"43","Tata Technologies Ltd","TATATECH","P&F | F.A","-1.25%","715.75","2,93,981"
"15","Thermax Limited","THERMAX","P&F | F.A","0.04%","3887.4","1,62,130"
"20","Tube Investments of India Ltd","TIINDIA","P&F | F.A","0.13%","2945.6","49,903"
"17","Timken India Limited","TIMKEN","P&F | F.A","-0.08%","3435.2","38,930"
"35","Torrent Power Limited","TORNTPOWER","P&F | F.A","-1.28%","1368","1,34,962"
"34","Voltas Limited","VOLTAS","P&F | F.A","-0.59%","1382.5","2,04,804"
"78","Yes Bank Limited","YESBANK","P&F | F.A","-0.25%","20.09","2,14,24,171"
"4","ZF Commercial Vehicle Control System India Ltd","ZFCVINDIA","P&F | F.A","-0.34%","13230","1,376"